"Time","Diffus","Global 0°","Global 45°","Global 60°","Global 30°","ClearSky 0° F"
2023-01-01 14:00:00,77.0 W/m²,267 W/m²,690 W/m²,771 W/m²,611 W/m²,238 W/m²
2023-01-01 14:05:00,76.2 W/m²,257 W/m²,674 W/m²,756 W/m²,597 W/m²,227 W/m²
2023-01-01 14:10:00,76.6 W/m²,243 W/m²,641 W/m²,725 W/m²,574 W/m²,217 W/m²
2023-01-01 14:15:00,77.9 W/m²,223 W/m²,591 W/m²,672 W/m²,530 W/m²,206 W/m²
2023-01-01 14:20:00,80.2 W/m²,223 W/m²,589 W/m²,687 W/m²,522 W/m²,196 W/m²
2023-01-01 14:25:00,78.4 W/m²,164 W/m²,408 W/m²,472 W/m²,363 W/m²,185 W/m²
2023-01-01 14:30:00,79.8 W/m²,167 W/m²,427 W/m²,486 W/m²,379 W/m²,174 W/m²
2023-01-01 14:35:00,82.3 W/m²,185 W/m²,490 W/m²,562 W/m²,434 W/m²,163 W/m²
2023-01-01 14:40:00,82.1 W/m²,182 W/m²,493 W/m²,567 W/m²,436 W/m²,151 W/m²
2023-01-01 14:45:00,79.0 W/m²,158 W/m²,427 W/m²,492 W/m²,377 W/m²,140 W/m²
2023-01-01 14:50:00,74.5 W/m²,130 W/m²,344 W/m²,396 W/m²,304 W/m²,129 W/m²
2023-01-01 14:55:00,69.9 W/m²,107 W/m²,277 W/m²,320 W/m²,245 W/m²,117 W/m²
2023-01-01 15:00:00,65.3 W/m²,97.8 W/m²,264 W/m²,308 W/m²,232 W/m²,106 W/m²
2023-01-01 15:05:00,59.1 W/m²,84.7 W/m²,224 W/m²,260 W/m²,197 W/m²,94.5 W/m²
2023-01-01 15:10:00,53.6 W/m²,70.2 W/m²,180 W/m²,209 W/m²,158 W/m²,83.2 W/m²
2023-01-01 15:15:00,48.2 W/m²,66.0 W/m²,181 W/m²,211 W/m²,158 W/m²,72.1 W/m²
2023-01-01 15:20:00,42.4 W/m²,53.4 W/m²,143 W/m²,166 W/m²,124 W/m²,61.3 W/m²
2023-01-01 15:25:00,39.1 W/m²,59.6 W/m²,200 W/m²,242 W/m²,172 W/m²,50.7 W/m²
2023-01-01 15:30:00,35.5 W/m²,57.6 W/m²,216 W/m²,265 W/m²,184 W/m²,40.5 W/m²
2023-01-01 15:35:00,30.0 W/m²,46.9 W/m²,180 W/m²,220 W/m²,152 W/m²,30.8 W/m²
2023-01-01 15:40:00,22.8 W/m²,30.0 W/m²,94.9 W/m²,113 W/m²,80.6 W/m²,21.8 W/m²
2023-01-01 15:45:00,14.4 W/m²,16.2 W/m²,37.5 W/m²,42.1 W/m²,31.9 W/m²,13.7 W/m²
2023-01-01 15:50:00,9.30 W/m²,10.4 W/m²,24.4 W/m²,27.2 W/m²,20.2 W/m²,6.88 W/m²
2023-01-01 15:55:00,4.79 W/m²,5.82 W/m²,19.6 W/m²,22.2 W/m²,15.5 W/m²,1.99 W/m²
2023-01-01 16:00:00,1.65 W/m²,2.24 W/m²,7.88 W/m²,8.13 W/m²,5.39 W/m²,64.4 mW/m²
2023-01-01 16:05:00,-53.8 mW/m²,245 mW/m²,3.51 W/m²,3.17 W/m²,1.34 W/m²,0 W/m²
2023-01-01 16:10:00,-91.0 mW/m²,63.8 mW/m²,2.99 W/m²,2.68 W/m²,1.06 W/m²,0 W/m²
2023-01-01 16:15:00,252 mW/m²,372 mW/m²,3.61 W/m²,3.52 W/m²,1.78 W/m²,0 W/m²
2023-01-01 16:20:00,-2.18 W/m²,-1.88 W/m²,327 mW/m²,298 mW/m²,-1.16 W/m²,0 W/m²
2023-01-01 16:25:00,-2.50 W/m²,-2.12 W/m²,-1.44 W/m²,-1.31 W/m²,-2.31 W/m²,0 W/m²
2023-01-01 16:30:00,-3.07 W/m²,-3.05 W/m²,-1.71 W/m²,-1.86 W/m²,-2.65 W/m²,0 W/m²
2023-01-01 16:35:00,-2.99 W/m²,-2.66 W/m²,-927 mW/m²,-1.39 W/m²,-2.69 W/m²,0 W/m²
2023-01-01 16:40:00,-2.61 W/m²,-2.05 W/m²,-1.41 W/m²,-1.36 W/m²,-2.50 W/m²,0 W/m²
2023-01-01 16:45:00,-2.71 W/m²,-2.46 W/m²,-1.34 W/m²,-1.15 W/m²,-2.11 W/m²,0 W/m²
2023-01-01 16:50:00,-2.51 W/m²,-2.12 W/m²,-1.20 W/m²,-845 mW/m²,-1.98 W/m²,0 W/m²
2023-01-01 16:55:00,-2.56 W/m²,-2.24 W/m²,-1.39 W/m²,-959 mW/m²,-2.04 W/m²,0 W/m²
2023-01-01 17:00:00,-2.56 W/m²,-2.18 W/m²,-1.25 W/m²,-818 mW/m²,-2.21 W/m²,0 W/m²
2023-01-01 17:05:00,-2.63 W/m²,-2.28 W/m²,-1.39 W/m²,-1.01 W/m²,-2.40 W/m²,0 W/m²
2023-01-01 17:10:00,-2.75 W/m²,-2.45 W/m²,-1.41 W/m²,-1.09 W/m²,-2.45 W/m²,0 W/m²
2023-01-01 17:15:00,-2.73 W/m²,-2.35 W/m²,-1.47 W/m²,-1.10 W/m²,-2.36 W/m²,0 W/m²
2023-01-01 17:20:00,-2.57 W/m²,-2.18 W/m²,-1.24 W/m²,-994 mW/m²,-2.20 W/m²,0 W/m²
